firing_decile,n_features,mean_firing_rate,rtn_survived_pct,prune_survived_pct,rtn_non_survived_pct,prune_non_survived_pct,rtn_damaged_pct,prune_damaged_pct,rtn_mean_damage,prune_mean_damage
0,573,0.001213468600371365,67.88830715532286,64.3979057591623,32.11169284467714,35.602094240837694,1.7452006980802792,0.8726003490401396,0.09365003753523164,0.09904442799924007
1,567,0.0017007900471441633,70.37037037037037,68.25396825396825,29.629629629629626,31.746031746031743,1.4109347442680775,0.7054673721340388,0.0925035602943099,0.09551220400867269
2,567,0.0023057703613258663,74.07407407407408,70.54673721340387,25.925925925925924,29.453262786596117,1.4109347442680775,0.3527336860670194,0.08901940215205269,0.09206232322938139
3,570,0.003153782894736796,70.7017543859649,67.36842105263158,29.29824561403509,32.631578947368425,1.9298245614035088,0.5263157894736842,0.09595842544058023,0.09754201807673626
4,567,0.004432603629652191,68.07760141093475,66.13756613756614,31.922398589065253,33.86243386243386,1.4109347442680775,0.3527336860670194,0.1022719778132434,0.10071443177787025
5,569,0.006358548017777429,61.6871704745167,60.98418277680141,38.3128295254833,39.015817223198596,1.054481546572935,0.17574692442882248,0.12007197113014612,0.11545926721669865
6,568,0.009152504923370303,59.154929577464785,57.9225352112676,40.845070422535215,42.07746478873239,0.17605633802816903,0.0,0.12209953969349809,0.11586446244940178
7,569,0.013425038937519666,60.80843585237259,59.57820738137083,39.19156414762742,40.421792618629176,0.7029876977152899,0.0,0.12377997741342031,0.11864511090528816
8,569,0.021363619400883195,49.91212653778559,50.43936731107206,50.08787346221442,49.56063268892794,0.17574692442882248,0.0,0.1413296485186676,0.13082451431831446
9,569,0.06149638190876928,41.30052724077329,44.112478031634446,58.69947275922671,55.88752196836555,0.17574692442882248,0.0,0.1404426826062761,0.1291710710042531
