condition,bits,layer,n_tokens,n_active_features,mean_corr,median_corr,survived_>0.9_pct,damaged_<0.5_pct,perplexity,loss,method,prune_sparsity,ppl_delta_pct
FP16 baseline,16,4,199680,5688,1.0,1.0,100.0,0.0,67.83998684338202,4.217151797547633,TL,,0.0
RTN INT8,8,4,199680,5688,0.9812409724912233,0.9919611150620701,98.31223628691983,0.0,68.53210773492977,4.227302361507805,TL,,1.0202255686540873
RTN INT7,7,4,199680,5688,0.9573337340681266,0.9804454416172973,86.32208157524613,0.0,69.37209109440366,4.239484641016746,TL,,2.2584088268747804
RTN INT6,6,4,199680,5688,0.8878863820651716,0.9395333790990618,62.394514767932485,1.0196905766526019,77.82769673700687,4.354497367021989,TL,,14.722452580485989
RTN INT5,5,4,199680,5688,0.7772491294531944,0.8497232974022927,37.95710267229255,12.58790436005626,116.14780701922527,4.754863578446058,TL,,71.20847515399514
RTN INT4,4,4,199680,5688,0.5832597804752722,0.6359508100098404,14.504219409282701,37.710970464135016,319.6024528975863,5.767077888761248,TL,,371.11219764153657
Magnitude pruning matched INT6,16,4,199680,5688,0.890512457598357,0.9328601960385682,60.970464135021096,0.29887482419127986,76.9900100806423,4.343675674224387,TL,0.17500000000000002,13.487654793307048
