condition,chunked_ppl,chunked_delta_pct,sliding_ppl,sliding_delta_pct,survived_>0.9_pct,degraded_0.5_0.9_pct,damaged_<0.5_pct,ppl_ratio_chunked_to_sliding,delta_shift_pp,sliding_loss,n_tokens_total,n_loss_tokens,window_size,stride,n_quantized_tensors,n_quantized_params,mean_corr,median_corr
FP16 baseline,458.53480267202224,0.0,46.39398655323163,0.0,100.0,0.0,0.0,9.883496477413244,0.0,3.837169850687515,288894,288893,2048,512,0,0,1.0,1.0
RTN INT8,470.5648830080225,2.623591549844706,46.77530800698295,0.8219199988640735,99.09014557670773,0.9098544232922732,0.0,10.060112975370965,-1.8016715509806325,3.845355457001818,288894,288893,2048,512,182,2024275968,0.9663635102345712,0.9706584637033512
RTN INT7,432.6358899221099,-5.648189101239742,43.38219343887741,-6.491774771065517,81.25699888017918,18.74300111982083,0.0,9.972660569403084,-0.8435856698257744,3.770049067487835,288894,288893,2048,512,182,2024275968,0.9433387164989512,0.949896383981864
RTN INT6,476.8236411108342,3.988538783149576,44.79189132118786,-3.453238988646834,51.30179171332587,48.69820828667413,0.0,10.645311618830501,-7.44177777179641,3.802027125744039,288894,288893,2048,512,182,2024275968,0.8911200143165376,0.9026694090394688
