firing_decile,n_features,mean_firing_rate,rtn_survived_pct,prune_survived_pct,rtn_non_survived_pct,prune_non_survived_pct,rtn_damaged_pct,prune_damaged_pct,rtn_mean_damage,prune_mean_damage
0,718,0.0011012013961093567,56.40668523676881,44.428969359331475,43.5933147632312,55.571030640668525,0.0,0.4178272980501393,0.1008650182774462,0.14955245949989343
1,712,0.0013509403927693575,55.33707865168539,44.10112359550562,44.662921348314605,55.89887640449438,0.0,0.2808988764044944,0.10300669038113965,0.15192110122405134
2,715,0.0016745127632223924,55.94405594405595,44.33566433566434,44.05594405594406,55.66433566433566,0.0,0.4195804195804196,0.1018726332520991,0.1518200895359411
3,714,0.0020912318780558336,49.85994397759104,37.81512605042017,50.14005602240896,62.18487394957983,0.0,0.0,0.11447332160312722,0.16539656085653803
4,713,0.002689151067800126,53.015427769985976,40.53295932678822,46.984572230014024,59.46704067321178,0.0,0.42075736325385693,0.1090365256204703,0.16134791983416288
5,714,0.0035478937318654574,49.57983193277311,36.41456582633053,50.42016806722689,63.58543417366946,0.0,0.42016806722689076,0.1105986590614924,0.1619332129661202
6,715,0.004883624440076004,53.98601398601398,42.23776223776224,46.01398601398601,57.76223776223777,0.0,0.27972027972027974,0.1065036538878836,0.1540034423934778
7,714,0.00702867672606672,51.120448179271705,36.134453781512605,48.87955182072829,63.86554621848739,0.0,0.1400560224089636,0.11358162576364125,0.16537012424637687
8,714,0.012302479235421717,45.51820728291317,32.07282913165266,54.48179271708683,67.92717086834735,0.0,0.0,0.11643452511700862,0.16683433947229606
9,715,0.09246855295242389,42.23776223776224,27.692307692307693,57.76223776223777,72.3076923076923,0.0,0.0,0.11246399587730477,0.1651037147769635
