feature_id,condition_rtn,layer_rtn,corr_rtn,firing_rate_rtn,mean_activation_rtn,max_activation_rtn,active_rtn,survived_>0.9_rtn,damaged_<0.5_rtn,condition_prune,layer_prune,corr_prune,firing_rate_prune,mean_activation_prune,max_activation_prune,active_prune,survived_>0.9_prune,damaged_<0.5_prune,damage_rtn,damage_prune,rtn_survived,prune_survived,rtn_non_survived,prune_non_survived,rtn_damaged,prune_damaged,rtn_degraded,prune_degraded
3,RTN INT6,12,0.7880154969454941,0.0055783570148489,0.0213052100724651,11.696407318115234,True,False,False,Magnitude pruning matched INT6,12,0.7310386821913899,0.0055783570148489,0.0213052100724651,11.696407318115234,True,False,False,0.2119845030545059,0.2689613178086101,False,False,True,True,False,False,True,True
6,RTN INT6,12,0.8462405722100284,0.0016741071428571,0.0065664036520859,9.554741859436035,True,False,False,Magnitude pruning matched INT6,12,0.7980964687607431,0.0016741071428571,0.0065664036520859,9.554741859436035,True,False,False,0.15375942778997165,0.20190353123925686,False,False,True,True,False,False,True,True
7,RTN INT6,12,0.9647238811362906,0.0010760688684075,0.0053382801455653,37.42335510253906,True,True,False,Magnitude pruning matched INT6,12,0.9527764543176912,0.0010760688684075,0.0053382801455653,37.42335510253906,True,True,False,0.035276118863709405,0.0472235456823088,True,True,False,False,False,False,False,False
8,RTN INT6,12,0.9754176143827332,0.0029661898361495,0.0177382063111066,22.20624351501465,True,True,False,Magnitude pruning matched INT6,12,0.975973150442282,0.0029661898361495,0.0177382063111066,22.20624351501465,True,True,False,0.024582385617266778,0.024026849557718055,True,True,False,False,False,False,False,False
12,RTN INT6,12,0.811079360928224,0.0300379224270353,0.1098757621885124,12.31827449798584,True,False,False,Magnitude pruning matched INT6,12,0.7186106497965319,0.0300379224270353,0.1098757621885124,12.31827449798584,True,False,False,0.18892063907177603,0.2813893502034681,False,False,True,True,False,False,True,True
13,RTN INT6,12,0.9412368923468948,0.0060283858166922,0.0268961354084904,38.10883712768555,True,True,False,Magnitude pruning matched INT6,12,0.920021235188508,0.0060283858166922,0.0268961354084904,38.10883712768555,True,True,False,0.05876310765310522,0.07997876481149202,True,True,False,False,False,False,False,False
14,RTN INT6,12,0.8427221838043201,0.0158350134408602,0.0804209787917408,29.60264205932617,True,False,False,Magnitude pruning matched INT6,12,0.7446688512168832,0.0158350134408602,0.0804209787917408,29.60264205932617,True,False,False,0.15727781619567993,0.2553311487831168,False,False,True,True,False,False,True,True
15,RTN INT6,12,0.7683544676199441,0.0051183275729646,0.0181228008557109,6.015183925628662,True,False,False,Magnitude pruning matched INT6,12,0.4926551733641106,0.0051183275729646,0.0181228008557109,6.015183925628662,True,False,True,0.23164553238005592,0.5073448266358894,False,False,True,True,False,True,True,False
16,RTN INT6,12,0.8605215732964177,0.0069844470046082,0.0267815700147054,9.025176048278809,True,False,False,Magnitude pruning matched INT6,12,0.7703248864406151,0.0069844470046082,0.0267815700147054,9.025176048278809,True,False,False,0.13947842670358235,0.22967511355938486,False,False,True,True,False,False,True,True
17,RTN INT6,12,0.9614620450720008,0.0095846134152585,0.0530795592054556,35.55218505859375,True,True,False,Magnitude pruning matched INT6,12,0.9356011070450672,0.0095846134152585,0.0530795592054556,35.55218505859375,True,True,False,0.03853795492799916,0.06439889295493284,True,True,False,False,False,False,False,False
18,RTN INT6,12,0.8977993017020421,0.0016621063748079,0.0073568334958444,14.47419261932373,True,False,False,Magnitude pruning matched INT6,12,0.868682429594064,0.0016621063748079,0.0073568334958444,14.47419261932373,True,False,False,0.10220069829795786,0.13131757040593595,False,False,True,True,False,False,True,True
19,RTN INT6,12,0.7346452834424364,0.0013500864055299,0.0050119667295395,8.565237998962402,True,False,False,Magnitude pruning matched INT6,12,0.5032809553629132,0.0013500864055299,0.0050119667295395,8.565237998962402,True,False,False,0.2653547165575636,0.4967190446370868,False,False,True,True,False,False,True,True
20,RTN INT6,12,0.9991586131011164,0.001922123015873,0.0290912451852958,45.24874114990234,True,True,False,Magnitude pruning matched INT6,12,0.998220456965594,0.001922123015873,0.0290912451852958,45.24874114990234,True,True,False,0.0008413868988835782,0.0017795430344059726,True,True,False,False,False,False,False,False
21,RTN INT6,12,0.8944015865885314,0.0010200652841781,0.0042272382604193,11.8128023147583,True,False,False,Magnitude pruning matched INT6,12,0.7932481362938935,0.0010200652841781,0.0042272382604193,11.8128023147583,True,False,False,0.10559841341146858,0.20675186370610654,False,False,True,True,False,False,True,True
22,RTN INT6,12,0.8972604828914861,0.0013480862775217,0.0059141830540716,13.279399871826172,True,False,False,Magnitude pruning matched INT6,12,0.863434609784217,0.0013480862775217,0.0059141830540716,13.279399871826172,True,False,False,0.10273951710851392,0.13656539021578296,False,False,True,True,False,False,True,True
23,RTN INT6,12,0.7358623521014569,0.0019001216077828,0.0066789015107089,7.238402366638184,True,False,False,Magnitude pruning matched INT6,12,0.654116833134502,0.0019001216077828,0.0066789015107089,7.238402366638184,True,False,False,0.2641376478985431,0.345883166865498,False,False,True,True,False,False,True,True
25,RTN INT6,12,0.9624538555949352,0.0031722030209933,0.0160966099879365,42.74007034301758,True,True,False,Magnitude pruning matched INT6,12,0.9635229724798297,0.0031722030209933,0.0160966099879365,42.74007034301758,True,True,False,0.03754614440506476,0.036477027520170346,True,True,False,False,False,False,False,False
26,RTN INT6,12,0.960904761112561,0.0098746319764464,0.0504621280518422,18.21247673034668,True,True,False,Magnitude pruning matched INT6,12,0.945874349194554,0.0098746319764464,0.0504621280518422,18.21247673034668,True,True,False,0.03909523888743904,0.05412565080544596,True,True,False,False,False,False,False,False
27,RTN INT6,12,0.8602579535415878,0.0019581253200204,0.0080159832454008,11.326513290405272,True,False,False,Magnitude pruning matched INT6,12,0.7749491126200571,0.0019581253200204,0.0080159832454008,11.326513290405272,True,False,False,0.13974204645841215,0.22505088737994294,False,False,True,True,False,False,True,True
28,RTN INT6,12,0.9259161544206892,0.0021961405529953,0.0097201376551589,13.975095748901367,True,True,False,Magnitude pruning matched INT6,12,0.887687417524082,0.0021961405529953,0.0097201376551589,13.975095748901367,True,False,False,0.0740838455793108,0.11231258247591802,True,False,False,True,False,False,False,True
31,RTN INT6,12,0.794605397768509,0.0023461501536098,0.0087457637031239,6.742518424987793,True,False,False,Magnitude pruning matched INT6,12,0.7296795573867682,0.0023461501536098,0.0087457637031239,6.742518424987793,True,False,False,0.20539460223149097,0.27032044261323185,False,False,True,True,False,False,True,True
